BRANCH_NAME,FREEZE_DT,CUSTOMER_CLASS,year,month,day,Amount,Accounts,Main_Branch
أبو عريش,4/29/2023,COM,2023,4,29,6275.57,2,Abu Arish
أبو عريش,4/29/2023,RES,2023,4,29,30765.36,187,Abu Arish
أبو عريش,4/30/2023,COM,2023,4,30,140.65,3,Abu Arish
أبو عريش,4/30/2023,RES,2023,4,30,16725.41,102,Abu Arish
أبو عريش,5/1/2023,COM,2023,5,1,1059.61,5,Abu Arish
أبو عريش,5/1/2023,RES,2023,5,1,26258.95,187,Abu Arish
أبو عريش,5/2/2023,COM,2023,5,2,372.2,2,Abu Arish
أبو عريش,5/2/2023,RES,2023,5,2,20429.11,114,Abu Arish
أبو عريش,5/3/2023,COM,2023,5,3,184.09,2,Abu Arish
أبو عريش,5/3/2023,RES,2023,5,3,35284.41,110,Abu Arish
أبو عريش,5/4/2023,COM,2023,5,4,9661.08,3,Abu Arish
أبو عريش,5/4/2023,RES,2023,5,4,15287.34,79,Abu Arish
أبو عريش,5/5/2023,COM,2023,5,5,145.44,2,Abu Arish
أبو عريش,5/5/2023,RES,2023,5,5,8618.65,41,Abu Arish
أبو عريش,5/6/2023,COM,2023,5,6,298.7,1,Abu Arish
أبو عريش,5/6/2023,RES,2023,5,6,7265.46,41,Abu Arish
أبو عريش,5/7/2023,COM,2023,5,7,507.01,3,Abu Arish
أبو عريش,5/7/2023,RES,2023,5,7,15456.43,50,Abu Arish
أبو عريش,5/8/2023,COM,2023,5,8,3298.48,2,Abu Arish
أبو عريش,5/8/2023,RES,2023,5,8,7675.35,46,Abu Arish
أبو عريش,5/9/2023,COM,2023,5,9,29.36,1,Abu Arish
أبو عريش,5/9/2023,RES,2023,5,9,3317.66,17,Abu Arish
أبو عريش,5/10/2023,RES,2023,5,10,32621.71,133,Abu Arish
أبو عريش,5/11/2023,COM,2023,5,11,3393.71,8,Abu Arish
أبو عريش,5/11/2023,RES,2023,5,11,56946.2,588,Abu Arish
أبو عريش,5/12/2023,COM,2023,5,12,172.79,6,Abu Arish
أبو عريش,5/12/2023,RES,2023,5,12,14095.87,225,Abu Arish
أبو عريش,5/13/2023,COM,2023,5,13,392.76,3,Abu Arish
أبو عريش,5/13/2023,RES,2023,5,13,17165.02,190,Abu Arish
أبو عريش,5/14/2023,COM,2023,5,14,159.8,4,Abu Arish
أبو عريش,5/14/2023,RES,2023,5,14,24153.31,149,Abu Arish
أبو عريش,5/15/2023,RES,2023,5,15,51715.85,129,Abu Arish
أبو عريش,5/16/2023,COM,2023,5,16,994.78,3,Abu Arish
أبو عريش,5/16/2023,RES,2023,5,16,7388.47,90,Abu Arish
أبو عريش,5/17/2023,COM,2023,5,17,42.61,3,Abu Arish
أبو عريش,5/17/2023,RES,2023,5,17,12589.62,70,Abu Arish
أبو عريش,5/18/2023,COM,2023,5,18,8.06,1,Abu Arish
أبو عريش,5/18/2023,RES,2023,5,18,13591.63,61,Abu Arish
أبو عريش,5/19/2023,RES,2023,5,19,3902.64,65,Abu Arish
أبو عريش,5/20/2023,COM,2023,5,20,2491.31,1,Abu Arish
أبو عريش,5/20/2023,RES,2023,5,20,4593.87,79,Abu Arish
أبو عريش,5/21/2023,COM,2023,5,21,504.88,2,Abu Arish
أبو عريش,5/21/2023,RES,2023,5,21,6409.24,82,Abu Arish
أبو عريش,5/22/2023,COM,2023,5,22,4560.82,2,Abu Arish
أبو عريش,5/22/2023,RES,2023,5,22,25354.24,68,Abu Arish
أبو عريش,5/23/2023,COM,2023,5,23,1744.02,3,Abu Arish
أبو عريش,5/23/2023,RES,2023,5,23,1845.3,35,Abu Arish
أبو عريش,5/24/2023,RES,2023,5,24,13877.55,91,Abu Arish
أبو عريش,5/24/2023,TANKER,2023,5,24,37696.87,1,Abu Arish
أبو عريش,5/25/2023,COM,2023,5,25,237.95,4,Abu Arish
أبو عريش,5/25/2023,RES,2023,5,25,41290.1,520,Abu Arish
أبو عريش,5/26/2023,COM,2023,5,26,48.66,3,Abu Arish
أبو عريش,5/26/2023,RES,2023,5,26,11027.15,140,Abu Arish
أبو عريش,5/27/2023,COM,2023,5,27,739.08,2,Abu Arish
أبو عريش,5/27/2023,RES,2023,5,27,9370.24,94,Abu Arish
أبو عريش,5/28/2023,COM,2023,5,28,330.86,4,Abu Arish
أبو عريش,5/28/2023,RES,2023,5,28,83927.29,1140,Abu Arish
أبو عريش,5/29/2023,COM,2023,5,29,11129.5,2,Abu Arish
أبو عريش,5/29/2023,RES,2023,5,29,20902.88,238,Abu Arish
أبو عريش,5/30/2023,RES,2023,5,30,23933.87,131,Abu Arish
أبو عريش,5/31/2023,COM,2023,5,31,76.54,1,Abu Arish
أبو عريش,5/31/2023,RES,2023,5,31,39119.05,153,Abu Arish
أبو عريش,6/1/2023,COM,2023,6,1,23.4,1,Abu Arish
أبو عريش,6/1/2023,RES,2023,6,1,26796.38,143,Abu Arish
أبو عريش,6/2/2023,RES,2023,6,2,6371.2,55,Abu Arish
أبو عريش,6/3/2023,COM,2023,6,3,86.45,1,Abu Arish
أبو عريش,6/3/2023,RES,2023,6,3,8919.01,58,Abu Arish
أبو عريش,6/4/2023,COM,2023,6,4,834.53,3,Abu Arish
أبو عريش,6/4/2023,RES,2023,6,4,15393.41,67,Abu Arish
أبو عريش,6/5/2023,COM,2023,6,5,446.23,1,Abu Arish
أبو عريش,6/5/2023,RES,2023,6,5,8325.63,54,Abu Arish
أبو عريش,6/6/2023,COM,2023,6,6,377.55,2,Abu Arish
أبو عريش,6/6/2023,RES,2023,6,6,47562.32,51,Abu Arish
أبو عريش,6/7/2023,RES,2023,6,7,8351.36,31,Abu Arish
أبو عريش,6/8/2023,COM,2023,6,8,355.8,2,Abu Arish
أبو عريش,6/8/2023,RES,2023,6,8,14291.65,33,Abu Arish
أبو عريش,6/9/2023,COM,2023,6,9,135.41,4,Abu Arish
أبو عريش,6/9/2023,RES,2023,6,9,12974.58,158,Abu Arish
أبو عريش,6/10/2023,COM,2023,6,10,38.25,2,Abu Arish
أبو عريش,6/10/2023,RES,2023,6,10,30788.68,419,Abu Arish
أبو عريش,6/11/2023,COM,2023,6,11,112.48,5,Abu Arish
أبو عريش,6/11/2023,RES,2023,6,11,41564.89,471,Abu Arish
أبو عريش,6/12/2023,COM,2023,6,12,13.9,2,Abu Arish
أبو عريش,6/12/2023,RES,2023,6,12,28371.53,247,Abu Arish
أبو عريش,6/13/2023,COM,2023,6,13,6672.86,3,Abu Arish
أبو عريش,6/13/2023,RES,2023,6,13,33069.13,163,Abu Arish
أبو عريش,6/14/2023,COM,2023,6,14,40.68,2,Abu Arish
أبو عريش,6/14/2023,RES,2023,6,14,22062.16,112,Abu Arish
أبو عريش,6/15/2023,COM,2023,6,15,1177.47,3,Abu Arish
أبو عريش,6/15/2023,RES,2023,6,15,25214.24,107,Abu Arish
أبو عريش,6/15/2023,TANKER,2023,6,15,40336.74,1,Abu Arish
أبو عريش,6/16/2023,COM,2023,6,16,52.17,2,Abu Arish
أبو عريش,6/16/2023,RES,2023,6,16,6412.4,77,Abu Arish
أبو عريش,6/17/2023,COM,2023,6,17,202.98,3,Abu Arish
أبو عريش,6/17/2023,RES,2023,6,17,12209.83,85,Abu Arish
أبو عريش,6/18/2023,COM,2023,6,18,2494.48,3,Abu Arish
أبو عريش,6/18/2023,RES,2023,6,18,16583.8,85,Abu Arish
أبو عريش,6/19/2023,COM,2023,6,19,6494.31,4,Abu Arish
أبو عريش,6/19/2023,RES,2023,6,19,46457.7,76,Abu Arish
أبو عريش,6/20/2023,RES,2023,6,20,7522.51,66,Abu Arish
أبو عريش,6/21/2023,COM,2023,6,21,12.29,1,Abu Arish
أبو عريش,6/21/2023,RES,2023,6,21,6778.64,61,Abu Arish
أبو عريش,6/22/2023,RES,2023,6,22,4305.95,67,Abu Arish
أبو عريش,6/23/2023,COM,2023,6,23,615.68,1,Abu Arish
أبو عريش,6/23/2023,RES,2023,6,23,6221.35,74,Abu Arish
أبو عريش,6/24/2023,RES,2023,6,24,4588.4,42,Abu Arish
أبو عريش,6/25/2023,COM,2023,6,25,175.79,3,Abu Arish
أبو عريش,6/25/2023,RES,2023,6,25,109296.56,1403,Abu Arish
أبو عريش,6/26/2023,COM,2023,6,26,1587.48,5,Abu Arish
أبو عريش,6/26/2023,RES,2023,6,26,48982.19,461,Abu Arish
أبو عريش,6/27/2023,RES,2023,6,27,24590.98,184,Abu Arish
أبو عريش,6/28/2023,COM,2023,6,28,282.89,2,Abu Arish
أبو عريش,6/28/2023,RES,2023,6,28,8482.85,52,Abu Arish
أبو عريش,6/29/2023,COM,2023,6,29,71.26,2,Abu Arish
أبو عريش,6/29/2023,RES,2023,6,29,10244.02,76,Abu Arish
أبو عريش,6/30/2023,RES,2023,6,30,6513.94,70,Abu Arish
أبو عريش,7/1/2023,COM,2023,7,1,135.93,2,Abu Arish
أبو عريش,7/1/2023,RES,2023,7,1,12294.89,56,Abu Arish
أبو عريش,7/2/2023,COM,2023,7,2,737.61,2,Abu Arish
أبو عريش,7/2/2023,RES,2023,7,2,7381.49,74,Abu Arish
أبو عريش,7/3/2023,COM,2023,7,3,445.58,2,Abu Arish
أبو عريش,7/3/2023,RES,2023,7,3,14621.63,71,Abu Arish
أبو عريش,7/4/2023,COM,2023,7,4,974.51,3,Abu Arish
أبو عريش,7/4/2023,RES,2023,7,4,18334.93,56,Abu Arish
أبو عريش,7/5/2023,RES,2023,7,5,17962.42,53,Abu Arish
أبو عريش,7/6/2023,RES,2023,7,6,5823.94,62,Abu Arish
أبو عريش,7/7/2023,RES,2023,7,7,7546.67,24,Abu Arish
أبو عريش,7/8/2023,COM,2023,7,8,44.34,1,Abu Arish
أبو عريش,7/8/2023,RES,2023,7,8,5193.42,36,Abu Arish
أبو عريش,7/9/2023,RES,2023,7,9,6869.84,31,Abu Arish
الدرب,1/1/2023,RES,2023,1,1,23522.7,167,Ad Darb
الدرب,1/2/2023,RES,2023,1,2,17614.95,120,Ad Darb
الدرب,1/3/2023,RES,2023,1,3,10340.62,74,Ad Darb
الدرب,1/4/2023,GOVT,2023,1,4,6627.28,4,Ad Darb
الدرب,1/4/2023,RES,2023,1,4,22674.16,57,Ad Darb
الدرب,1/5/2023,GOVT,2023,1,5,27207.09,29,Ad Darb
الدرب,1/5/2023,RES,2023,1,5,12192.81,56,Ad Darb
